Sport,Family,1614,1618,2350,All Stores
HIKING/TREKKING,"""TREKKING SLEEPING BAGS",0.0,0.0,0.0,0.0
TENNIS,MEN BEG/INTER MULTICOURT SHOES,0.8232558139534883,0.8,0.36231884057971014,0.7456896551724138
Others,HORSE SADDLE PADS,0,0.75,0,0.75
JOG/RUN,ADULT RUNNING SOCKS,0.7641509433962265,0.7567567567567568,0.42727272727272725,0.6930147058823529
KAYAK/SUP,KAYAK CLOTHING,1.0,0.6842105263157895,0.2777777777777778,0.6621621621621622
VOLLEYBALL,VOLLEY BALL BALLS,1.0,0.8,0.0,0.5384615384615384
TENNIS,WOMEN WARM CONDITION RACKET SP APAREL,0.7226890756302521,0.7603305785123967,0.25925925925925924,0.6530612244897959
Others,RIDER HELMETS,1.0,0.863013698630137,1.0,0.8901098901098901
Others,RIDING APPAREL FOR SHOW,1.0,0.9411764705882353,0.0,0.9425287356321839
CROSSTRAIN,PROTEINS AND SUPPLEMENTS,0.6,0.8181818181818182,0.0,0.6666666666666666
JOG/RUN,OCCASIONAL WOMEN JOG BREATHABLE TEXTILE,0.8187919463087249,0.815028901734104,0.417910447761194,0.7480719794344473
JOG/RUN,JOGGING ACCESSORIES TO CARRY,0.7441860465116279,0.7333333333333333,0.17647058823529413,0.6476190476190476
TENNIS,JUNIOR WARM APPAREL,0.6768558951965066,0.6502242152466368,0.20175438596491227,0.5706713780918727
HIKING/TREKKING,"""HIKING INSULATED BOTTLES",0.0,0.0,0.0,0.0
JOG/RUN,OCCASIONAL MEN JOG BREATHABLE TEXTILE,0.8411764705882353,0.8313253012048193,0.52,0.7785888077858881
PILATES,"""WOMEN ARTISTIC GYM APPAREL",0.0,0,0,0.0
JOG/RUN,SUN PROTECT RUNNING ACCESSORIES,0.7111111111111111,0.6829268292682927,0.1111111111111111,0.5961538461538461
JOG/RUN,REGULAR MEN JOGGING BREATHABLE TEXTILE,0.8532110091743119,0.8704453441295547,0.4166666666666667,0.786096256684492
Others,HOT WEATHER WOMAN RIDINGWEAR,1.0,0.8823529411764706,0,0.8947368421052632
TABLE_TENNIS,TT FREE RACKETS BEGINNER,0.5,0.45454545454545453,0.0,0.36
JOG/RUN,REGULAR MEN JOGGING SHOES,0.8497109826589595,0.8061674008810573,0.2923076923076923,0.7505376344086021
FITNESS,FITNESS CARDIO TRACKSUITS MAN,1.0,1.0,0,1.0
Others,RIGGED LINES,0,1.0,0,1.0
CYCLING,MEN WARM WEATHER ROAD BASELAYER,1.0,0.8181818181818182,1.0,0.8666666666666667
Others,HOT WEATHER JR RIDINGWEAR,1.0,0.8571428571428571,0,0.875
Others,"""WOMEN MODERN DANCE APPAREL",0.0,0.0,0,0.0
HIKING/TREKKING,"""TREKKING STOVES",0.0,0.0,0.0,0.0
CYCLING,URBAN / INTERMODAL HELMET,1.0,0.875,1.0,0.9166666666666666
CYCLING,MID-SEASON HEAD BAND,1.0,0.8125,0.3333333333333333,0.7692307692307693
CYCLING,BIKE GLOVES WARM WEATHER,1.0,0.9540229885057471,0.3902439024390244,0.7972027972027972
CYCLING,JR MTB ROAD WARM WEATHER APPAREL,1.0,1.0,0.625,0.9491525423728814
CYCLING,ADULT WARM WEATHER CROSS C. MTB GLOVES,1.0,1.0,0,1.0
FOOTBALL,JR WARM WEATHER OUTFIT,0.7985865724381626,0.7213114754098361,0.0392156862745098,0.6521739130434783
TABLE_TENNIS,TT RACKETS COVERS BEGINNER,1.0,0.7,0.0,0.6842105263157895
